음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
수박 크러쉬,454,402.2,0,54.5,0,2.4,0,0,38.2,0,0,0,0,0,0,공차
자두 크러쉬,454,283.9,0,46.9,0,0.6,0,0,21.4,0,0,0,0,0,0,공차
멜론 그린 밀크티,454,272.7,0,39.1,0,5.1,0,0,53,0,0,0,0,0,0,공차
자두 요거티 스파클링,454,177.7,0,35,0,0.8,0,0,13.9,0,0,0,0,0,0,공차
리얼 망고 밀크티,454,257,0,35.5,0,6.5,0,0,85.8,0,0,0,0,0,0,공차
리얼 망고 요거티 크러쉬,454,350.1,0,51.6,0,2.5,0,0,85.8,0,0,0,0,0,0,공차
망고 쥬얼리 자몽 크러쉬,454,322,0,45.9,0,0.9,0,0,41,0,0,0,0,0,0,공차
망고 쥬얼리 밀크티,454,218.7,0,27.6,0,18.2,0,0,70.1,0,0,0,0,0,0,공차
브라운슈가 치즈폼 쿠키 밀크티,454,385.3,0,41,0,6.4,0,0,264.8,0,0,0,0,0,0,공차
브라운슈가 레드빈 밀크티,454,287.4,0,28.3,0,6,0,0,128.9,0,0,0,0,0,0,공차
브라운슈가 커피 밀크티,454,355,0,46,0,9.5,0,0,196.7,0,0,0,0,0,0,공차
브라운 슈가 치즈폼 스무디 (ice),454,438.6,0,42.8,0,1.7,0,0,200.5,0,0,0,0,0,0,공차
브라운 슈가 쥬얼리 밀크티(ice),454,313.6,0,35.1,0,7.1,0,0,153.6,0,0,0,0,0,0,공차
딸기&쿠키 밀크티 (ice),454,360.6,0,34.3,0,6.7,0,0,262.2,0,0,0,0,0,0,공차
딸기&요구르트 크러쉬 (ice),454,324.5,0,57,0,2.4,0,0,73.9,0,0,0,0,0,0,공차
딸기 쥬얼리 밀크티?(ice),454,216.2,0,27.7,0,4.9,0,0,64.8,0,0,0,0,0,0,공차
딸기쿠키스무디?(ice),454,428.2,0,52.5,0,3.3,0,0,107,0,0,0,0,0,0,공차
치즈폼 딥바닐라 밀크티 (ice),454,375.5,0,32.1,0,3.3,0,0,224.1,0,0,0,0,0,0,공차
치즈폼 딥바닐라 밀크티 (hot),397,458.5,0,38.6,0,9.2,0,0,289.4,0,0,0,0,0,0,공차
치즈폼 딥초코 밀크티 (iced),454,419.6,0,24,0,2.7,0,0,237.4,0,0,0,0,0,0,공차
치즈폼 딥초코 밀크티 (hot),397,523,0,30.7,0,10.6,0,0,311,0,0,0,0,0,0,공차
치즈폼 딥초코 스무디,454,430.4,0,27.6,0,3.3,0,0,181.1,0,0,0,0,0,0,공차
블랙밀크티+펄 (ice)L,454,363.6,0,47,0,1,0,0,55.7,0,0,0,0,0,0,공차
블랙밀크티+펄 (hot)L,397,174.3,0,12.4,0,5.5,0,0,68,0,0,0,0,0,0,공차
블랙밀크티+펄 (ice)J,624,463.6,0,62.5,0,1.3,0,0,73.7,0,0,0,0,0,0,공차
블랙밀크티+펄 (hot)J,454,183.8,0,13.2,0,6.2,0,0,75.8,0,0,0,0,0,0,공차
타로밀크티+펄 (ice)L,454,330.3,0,49.7,0,1,0,0,53.9,0,0,0,0,0,0,공차
타로밀크티+펄 (hot)L,397,383.1,0,12.2,0,1.2,0,0,100.6,0,0,0,0,0,0,공차
타로밀크티+펄 (ice)J,624,417.9,0,66.2,0,1.3,0,0,71.2,0,0,0,0,0,0,공차
타로밀크티+펄 (hot)J,454,418.6,0,13,0,1.3,0,0,112.1,0,0,0,0,0,0,공차
초콜렛밀크티 + 밀크폼(ice)L,454,251.7,0,24.7,0,2.5,0,0,166.1,0,0,0,0,0,0,공차
초콜렛밀크티 + 밀크폼(hot)L,397,331,0,5.8,0,2.9,0,0,200.1,0,0,0,0,0,0,공차
초콜렛밀크티 + 밀크폼(ice)J,624,311.5,0,33.9,0,3.2,0,0,177.6,0,0,0,0,0,0,공차
초콜렛밀크티 + 밀크폼(hot)J,454,360.7,0,6.3,0,3.2,0,0,208.2,0,0,0,0,0,0,공차
망고요구르트 + 화이트펄(ice)L,454,215.6,0,82.9,0,0.5,0,0,32.9,0,0,0,0,0,0,공차
망고요구르트 + 화이트펄(ice)J,624,283.1,0,116.1,0,0.6,0,0,45.8,0,0,0,0,0,0,공차
우롱밀크티 + 코코넛L,454,278.4,0,32.1,0,0.9,0,0,48.4,0,0,0,0,0,0,공차
우롱밀크티 + 코코넛J,624,365.4,0,39.9,0,1.2,0,0,66.4,0,0,0,0,0,0,공차
청포도그린티에이드 + 알로에L,454,202.6,0,6.4,0,0.5,0,0,4.9,0,0,0,0,0,0,공차
청포도그린티에이드 + 알로에J,624,268.6,0,6.4,0,0.7,0,0,6.1,0,0,0,0,0,0,공차
자스민 그린티 (ice)L,454,4.4,0,0,0,0.2,0,0,2.2,0,0,0,0,0,0,공차
자스민 그린티 (hot)L,397,6,0,0,0,0.4,0,0,4.7,0,0,0,0,0,0,공차
자스민 그린티 (ice)J,624,6,0,0,0,0.3,0,0,3,0,0,0,0,0,0,공차
자스민 그린티 (hot)J,454,6.8,0,0,0,0.4,0,0,5.3,0,0,0,0,0,0,공차
우롱티 (ice)L,454,2.1,0,0,0,0.1,0,0,1.7,0,0,0,0,0,0,공차
우롱티 (hot)L,397,4.3,0,0,0,0.4,0,0,4.8,0,0,0,0,0,0,공차
우롱티 (ice)J,624,2.9,0,0,0,0.2,0,0,2.4,0,0,0,0,0,0,공차
우롱티 (hot)J,454,4.8,0,0,0,0.4,0,0,5.4,0,0,0,0,0,0,공차
블랙티?(ice)L,454,4.4,0,0,0,0.7,0,0,2.2,0,0,0,0,0,0,공차
블랙티?(hot)L,397,6.4,0,0,0,1,0,0,4.8,0,0,0,0,0,0,공차
블랙티?(ice)J,624,6,0,0,0,0.9,0,0,3,0,0,0,0,0,0,공차
블랙티?(hot)J,454,7.2,0,0,0,1.2,0,0,5.4,0,0,0,0,0,0,공차
얼그레이티 (ice)L,454,4.7,0,0,0,0.9,0,0,3.2,0,0,0,0,0,0,공차
얼그레이티 (hot)L,397,6.1,0,0,0,0.4,0,0,6,0,0,0,0,0,0,공차
얼그레이티 (ice)J,624,6.5,0,0,0,1,0,0,4.4,0,0,0,0,0,0,공차
얼그레이티 (hot)J,454,7,0,0,0,0.5,0,0,6.8,0,0,0,0,0,0,공차
밀크폼 그린티 (ice)L,454,97.7,0,2.7,0,0.9,0,0,137.7,0,0,0,0,0,0,공차
밀크폼 그린티 (hot)L,397,99.3,0,2.7,0,1.1,0,0,140.2,0,0,0,0,0,0,공차
밀크폼 그린티 (ice)J,624,130.4,0,3.6,0,1.2,0,0,183.6,0,0,0,0,0,0,공차
밀크폼 그린티 (hot)J,454,131.2,0,3.6,0,1.3,0,0,185.9,0,0,0,0,0,0,공차
밀크폼 우롱티 (ice)L,454,95.4,0,2.7,0,0.8,0,0,137.2,0,0,0,0,0,0,공차
밀크폼 우롱티 (hot)L,397,97.6,0,2.7,0,1.1,0,0,140.3,0,0,0,0,0,0,공차
밀크폼 우롱티 (ice)J,624,127.3,0,3.6,0,1.1,0,0,183,0,0,0,0,0,0,공차
밀크폼 우롱티 (hot)J,454,129.2,0,3.6,0,1.3,0,0,186,0,0,0,0,0,0,공차
밀크폼 블랙티 (ice)L,454,97.7,0,2.7,0,1.4,0,0,137.7,0,0,0,0,0,0,공차
밀크폼 블랙티 (hot)L,397,99.7,0,2.7,0,1.7,0,0,140.3,0,0,0,0,0,0,공차
밀크폼 블랙티 (ice)J,624,130.4,0,3.6,0,1.8,0,0,183.6,0,0,0,0,0,0,공차
밀크폼 블랙티 (hot)J,454,131.6,0,3.6,0,2.1,0,0,168,0,0,0,0,0,0,공차
밀크폼 얼그레이티 (ice)L,454,98,0,2.7,0,1.6,0,0,138.7,0,0,0,0,0,0,공차
밀크폼 얼그레이티 (hot)L,397,99.4,0,2.7,0,1.1,0,0,141.5,0,0,0,0,0,0,공차
밀크폼 얼그레이티 (ice)J,624,130.9,0,3.6,0,1.9,0,0,185,0,0,0,0,0,0,공차
밀크폼 얼그레이티 (hot)J,454,131.4,0,3.6,0,1.4,0,0,187.4,0,0,0,0,0,0,공차
밀크폼 윈터멜론티 (ice)L,454,316.1,0,93.6,0,0.6,0,0,171.9,0,0,0,0,0,0,공차
밀크폼 윈터멜론티 (hot)L,397,309.3,0,54.2,0,0.8,0,0,180.3,0,0,0,0,0,0,공차
밀크폼 윈터멜론티 (ice)J,624,439.3,0,128.5,0,0.9,0,0,230.9,0,0,0,0,0,0,공차
밀크폼 윈터멜론티 (hot)J,454,336.3,0,60.6,0,0.9,0,0,186,0,0,0,0,0,0,공차
그린 밀크티 (ice)L,454,205.6,0,31.5,0,1.4,0,0,49,0,0,0,0,0,0,공차
그린 밀크티 (hot)L,397,99.4,0,6.8,0,5,0,0,60.9,0,0,0,0,0,0,공차
그린 밀크티 (ice)J,624,283.3,0,43.4,0,1.9,0,0,67.5,0,0,0,0,0,0,공차
그린 밀크티 (hot)J,454,111.8,0,7.7,0,5.6,0,0,68.5,0,0,0,0,0,0,공차
우롱 밀크티 (ice)L,454,230.4,0,20.7,0,0.9,0,0,47.7,0,0,0,0,0,0,공차
우롱 밀크티 (hot)L,397,68.7,0,6.1,0,5.3,0,0,68.4,0,0,0,0,0,0,공차
우롱 밀크티 (ice)J,624,317.4,0,28.5,0,1.2,0,0,65.7,0,0,0,0,0,0,공차
우롱 밀크티 (hot)J,454,77.31,0,6.9,0,6,0,0,77,0,0,0,0,0,0,공차
블랙 밀크티 (ice)L,454,265,0,40.9,0,0.9,0,0,47.7,0,0,0,0,0,0,공차
블랙 밀크티 (hot)L,397,75.7,0,6.3,0,5.4,0,0,60,0,0,0,0,0,0,공차
블랙 밀크티 (ice)J,624,365,0,56.4,0,1.2,0,0,65.7,0,0,0,0,0,0,공차
블랙 밀크티 (hot)J,454,85.2,0,7.1,0,6.1,0,0,67.8,0,0,0,0,0,0,공차
얼그레이 밀크티 (ice)L,454,240.3,0,17.1,0,1.4,0,0,56.2,0,0,0,0,0,0,공차
얼그레이 밀크티 (hot)L,397,81,0,6.2,0,5.3,0,0,57.4,0,0,0,0,0,0,공차
얼그레이 밀크티 (ice)J,624,331,0,23.5,0,1.9,0,0,77.5,0,0,0,0,0,0,공차
얼그레이 밀크티 (hot)J,454,91.2,0,7,0,5.9,0,0,64.6,0,0,0,0,0,0,공차
윈터멜론 밀크티 (ice)L,454,233.1,0,48.6,0,3.1,0,0,58.5,0,0,0,0,0,0,공차
윈터멜론 밀크티 (hot)L,397,207.4,0,36.8,0,4.6,0,0,93.5,0,0,0,0,0,0,공차
윈터멜론 밀크티 (ice)J,624,321.1,0,66.9,0,4.3,0,0,80.6,0,0,0,0,0,0,공차
윈터멜론 밀크티 (hot)J,454,233.3,0,41.4,0,5.2,0,0,105.2,0,0,0,0,0,0,공차
타로 밀크티 (ice)L,454,231.7,0,43.6,0,0.9,0,0,45.9,0,0,0,0,0,0,공차
타로 밀크티 (hot)L,397,284.5,0,6.1,0,1.1,0,0,92.6,0,0,0,0,0,0,공차
