음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
쌀밥,210,334.8,73.71,0,0.45,5.76,3.6,126,59.4,146.7,-,0.36,1.35,0,0
기타잡곡밥,200,302.36,65.52,0,0.75,6.71,12.06,117.84,3.39,166.72,6.9,1.74,1.83,0,0
콩밥,200,322.9,65.85,0,1.67,8.43,24.7,126.9,4.1,258.4,22.5,1.74,1.61,0,0
보리밥,200,316.1,70.57,0,0.14,5.55,6.7,68.8,4.5,100.6,0,1.26,1.41,0,0
돌솥밥,350,528.86,101.85,0,8.35,10.19,61.46,193.72,618.32,624.32,57.79,3.32,2.58,2.37,0
현미밥,230,351.35,77.88,0,1.1,6.66,6.01,178.28,42.08,209.33,0,1.05,1.65,0,0
흑미밥,200,318,70.29,0,0.39,5.44,6.3,98.6,4.5,112.9,0,1.29,1.35,0,0
감자밥,200,308,68.64,0,0.08,5.68,6.4,86.8,5.2,267.6,9.2,1.36,1.4,0,0
곤드레밥,350,506.8,108.05,0,8.37,14.14,30.32,95.48,88.75,815.92,22.4,1.88,1.78,0,0
김치볶음밥,500,656.98,79.29,4,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76,0
주먹밥,150,209.56,36.18,0,3.46,6.7,85.43,151.23,329.69,179.33,0,0.7,0.8,50.13,0
볶음밥,400,687.74,100.33,0,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309,0
일반비빔밥,500,703,95.68,3.44,25.28,22.6,96.8,289.33,1234.09,742.51,55.8,4.75,4.16,40.2,0
전주비빔밥,450,662.19,92.99,3.44,13.03,15.84,65.04,236.12,1281.3,450.11,10.84,3.24,2.86,286.94,0
삼선볶음밥,400,683.62,113.43,5.09,16.84,19.26,119.37,249.11,1155.81,640.97,29.67,4.52,3.57,119.13,0
새우볶음밥,400,634.52,91.62,0,17.91,24.12,81.82,341.3,1124.63,710.66,17.68,4.15,2.82,127.2,0
알밥,400,606.54,92.1,0,3.45,15.16,68.6,235.4,1647.87,510.41,7.4,3.56,3.3,39,0
산채비빔밥 ,400,495.89,89.66,0.52,10.99,10.66,63.1,160.29,1060.78,509.95,38.81,3.53,2.05,0,0
오므라이스,450,684.99,101.62,0,19.75,23.15,81.56,341.26,1123.24,788.38,33.71,4.13,3.67,605.63,0
육회비빔밥,450,661.41,91.74,2.58,17.54,32,86.38,404.74,1126.6,793.74,33.58,5.97,6.53,241.65,0
해물볶음밥,400,659.23,85.19,0,23.71,22.68,77.5,305.55,951.03,555.36,24.2,4.13,3.08,362.4,0
열무비빔밥,400,445.66,90.03,1.72,3.16,12.99,91.06,167.96,718.39,708.68,1.29,3.91,2.65,12.8,0
불고기덮밥,500,699.96,92.09,5.99,21.4,29.31,45.77,328.37,1182.88,764.5,30.22,4.25,8.77,72,0
소고기국밥,700,331.71,54.93,0,4.74,16.04,33.02,194.58,1613.21,485.21,-,3.61,2.31,25.5,0
송이덮밥,600,600.42,103.57,0,14.45,16.28,91.94,279.96,1578.85,1313.48,-,5.71,4.25,9.54,0
오징어덮밥,500,693.98,83.43,2.69,20.92,40.59,76.77,586.83,1497.37,874.96,62.69,3.23,4.63,387.6,0
자장밥,500,729.62,98.08,4,24.95,25.76,81.91,297.12,1521.85,781.93,32.5,5.7,5.68,36,0
잡채밥,650,851.54,125.7,4,28.61,21.14,84.11,287.78,2251.34,817.08,32.55,4.83,5.9,36,0
잡탕밥,750,737.23,100.55,0,22.48,29.02,77.6,363.25,1922.14,803.73,15.65,4.86,6.22,188.05,0
장어덮밥,400,671.72,103.04,0,19.24,26.14,611.12,448.26,893.22,785.08,28.6,22.17,4.75,156.96,0
제육덮밥,500,796.94,95.8,5.4,27.52,37.8,46.04,573.7,1375.69,624.95,-,6.28,7.17,108,0
짬뽕밥,900,696.69,93.42,0,22.42,41.8,394.17,667.61,2869.54,1715.52,-,11.59,5.57,304.3,0
순대국밥,900,690.35,34.23,0,16.48,17.34,132.86,239.26,3418.2,672.91,3.45,9.11,6.62,1480.97,0
카레라이스,500,653.24,92.58,0,10.67,13.4,27.9,218.24,1108.55,525.62,70.18,1.98,2.66,13.75,0
전주콩나물국밥,900,432.38,88.73,0,3.53,12.5,76.88,231.65,1753.26,525.79,67.79,2.38,2.37,2.77,0
해물덮밥,700,837.98,100.11,0,29,51.77,167.54,542.32,2117.83,1361.77,34.8,16.63,5.86,293.87,0
회덮밥,500,698,101.75,18.41,11.4,42.99,117.12,587.94,777.63,1131.35,6.98,3.9,2.67,125.59,0
소머리국밥,1100,891.43,77.06,0,40.76,48.94,53.26,302.43,970.9,455.78,24.67,1.89,4.22,477.1,0
돼지국밥,1200,811.44,78.28,3.3,36.45,56.76,65.73,280.74,1257.67,497.83,57.14,42.95,43.67,734.5,0
하이라이스,360,477.6,84.59,0,9.67,7.92,5.94,139.95,991.68,251.61,6.6,0.55,1.51,8.57,0
김치김밥,250,377.26,71.8,0,4.62,11.45,79.06,220.2,967.79,413.86,3.6,1.46,1.96,99.6,0
농어초밥,250,414.78,74.14,6.97,2.37,19.93,54.13,273.49,1385.46,479.7,0,1.58,1.67,43.47,0
문어초밥,250,377.97,71.84,4.98,1.03,16.9,30.2,256.61,1420.92,395.09,25.75,1.11,2.52,96,0
새우초밥,250,395.54,69.54,2.99,1.21,22.74,73.39,341.13,1396.75,372.75,2.6,2.62,2.17,138.33,0
새우튀김롤,300,572.02,81.5,4,18.9,21.11,110.82,371.52,1512.5,715.82,0.24,3.42,2.49,96.54,0
샐러드김밥,250,422.43,75.84,0,7.51,12.76,45.66,226.51,906.68,541.33,13.74,2.15,2.24,100.53,0
광어초밥,300,471.66,72.53,5.23,3.21,33.74,88.07,410.89,951.28,747.09,1.4,2.96,1.94,126.5,0
소고기김밥,250,425.67,76.07,0,6.64,14.67,64.33,236.14,1477.98,554,12.52,2.27,2.61,99.87,0
갈비삼각김밥,100,183.18,32.75,0,2.6,6.86,14.93,90.9,398.12,180.59,4.93,1.16,1.17,12.42,0
연어롤 ,300,518.58,76.11,0,14.72,20.72,64.97,359.16,1243.82,665.56,23.58,3.83,2.14,51.73,0
연어초밥,250,451.03,70.87,3.96,5.76,24.94,38.03,367.08,995.03,476.13,0.8,1.69,1.87,54.6,0
유부초밥,250,463.21,78.47,6.77,11.23,12.37,120.18,225.59,929.07,291.5,27.28,2.11,2.14,0,0
장어초밥,400,486.35,74.84,2.06,12.73,16.33,132.83,283.27,1291.81,500.64,14.55,2.52,2.39,130.43,0
참치김밥,250,401.22,47.55,0,14.59,19.83,57.81,279.82,925.73,380.33,15.63,4.52,1.96,143.67,0
참치마요삼각김밥,100,189.58,31.93,0,2.89,8.11,6.98,82.82,189.1,69.28,0,1.59,0.77,16.63,0
치즈김밥 ,250,462.23,77.13,0,8.84,17.12,137.52,330.23,919.97,445.72,10.18,1.43,2.53,83.02,0
캘리포니아롤,300,468.16,81.22,0,9.73,12.8,106.58,211.89,1351.96,271.15,3.06,4.95,3.08,28.34,0
한치초밥,250,389.96,77.31,1.74,1.2,13.54,19.98,222.63,1153.49,182.25,1.65,1.86,2.54,0.75,0
일반김밥,200,348.87,63.64,0,5.42,10.28,41.45,159.43,951.32,355.38,3.24,3.4,1.91,69.12,0
간자장,650,807.74,121.75,6.79,26.38,29.28,124.35,308.09,2347.77,607.18,21.25,7.06,2.61,19.43,0
굴짬뽕,900,640.77,115.82,2,7.76,37.39,196.77,506.6,2385.35,1371.89,48.86,14.28,10.34,178.2,0
기스면,1000,645.61,98.3,0,11,43.52,270.98,443.37,2279.52,862.72,11.6,12.27,3.13,341.1,0
김치라면,650,512.26,80.57,2.27,20.34,12.97,62.7,166.94,2628.29,652.67,1.5,1.82,1.3,15.41,0
김치우동,800,512.71,99.06,0,4.74,16.74,247.86,233.55,3003.05,725.53,11.2,4.14,1.76,33.44,0
김치말이국수,600,310.38,60.76,3,2.47,10.42,105.79,191,2335.45,453.96,-,2.43,1.43,22.23,0
닭칼국수,900,643.1,70.24,0,19.59,39.86,110.16,285.97,2492.77,913.48,5.78,2.45,1.64,113.77,0
들깨칼국수,600,442.32,76.67,2.4,6.78,17.48,176.47,217.32,1695.77,693.31,0,2.45,1.08,16.72,0
떡라면,700,672.18,121.08,0,17.58,15.45,30.33,2376.04,2214.36,362.51,0.52,1.59,1.35,2.34,0
라면,550,509.33,83.17,0,17.75,14.08,32.99,145.28,1695.5,374.07,0.97,1.23,1.19,2.34,0
막국수,550,566.89,111.3,11.02,5.09,26.95,68.9,286.78,1828.02,894.77,19.55,3.93,5.23,37.1,0
메밀국수,600,588.68,120.09,10.16,4.53,25.26,76.06,224.96,1962.46,629.12,11.48,3.21,4.64,35.98,0
물냉면,800,579.71,96.4,1.2,9.78,28.78,87.74,422.72,2586.16,1042.89,16.39,7.77,5.69,178.23,0
비빔국수,550,577.17,114.48,11.02,9.55,16.71,130.69,262.58,1628.3,1389.4,7.55,6.27,2.59,0,0
비빔냉면,550,594.31,91.49,2,9.13,23.7,64.99,1186.3,1530.57,298.62,12.31,6.43,4.63,31.73,0
삼선우동,1000,692.26,89.2,2,10.53,56.17,216.64,687.99,2351.43,1528,68.74,11.29,5.47,640.68,0
삼선자장면,700,787.84,111.57,2,24.68,38.33,143.37,493.95,2791.11,850.27,41.7,6.67,3.56,162.24,0
삼선짬뽕,900,629.1,89.31,3,13.45,39.17,172.14,509.6,2825.66,1501.78,-,9.82,4.37,249.3,0
수제비,800,622.15,99.22,0,6.54,38.53,1054.84,907.28,1669.32,1892.55,46.05,11.1,4.71,209,0
쌀국수,600,321.34,46.2,2.2,5.81,21.85,45.02,184.22,2032.17,360.69,48.04,3.21,4.89,123.03,0
열무김치국수,800,488.32,81.61,0,8.22,21.94,341.36,295.98,2587.7,1125.83,1.15,4.45,1.73,45.14,0
오일소스스파게티,400,626.59,99.24,0,16.59,14.68,37.37,52.56,968.7,218.39,0,3.01,2.35,0,0
일식우동,700,420.79,81.23,0.5,1.74,16.94,88.55,155.03,1873.54,371.35,9.34,3.17,0.71,16.2,0
볶음우동,300,377.92,62.26,0.91,10.81,9.59,50.25,93.8,1461.31,637.56,5.73,2.07,1.02,0,0
자장면,650,760.88,134.29,7.99,23.16,15.74,166.7,302.56,2447,1013.84,37.46,5.33,1.41,3.08,0
잔치국수,700,564.23,104.67,0.44,6.23,20.26,250.38,277.3,1792.23,904.12,3.55,3.77,1.9,167.41,0
짬뽕,1000,650.31,118.54,0,13.53,25.53,82.74,320.6,3451.37,857.44,32.8,4.61,3.56,105.23,0
짬뽕라면,750,633.34,88.79,0,24.63,31.41,127.96,393.28,2380.93,1279.06,-,11.16,3.84,85.28,0
쫄면,450,622.42,110.85,22.13,6.93,12.36,140.03,304.89,1271.55,547.14,19.64,4.19,1.46,0,0
치즈라면,600,598.67,83.53,0,23.28,23.35,152.41,367.79,2425.97,652.33,-,3.06,2.99,302.2,0
콩국수,800,623.5,67.12,1,20.43,47.8,227.94,591.06,875.84,1343.71,0,8.58,5.33,0,0
크림소스스파게티,400,825.06,85.88,0,45.4,19.44,233.33,333.99,1025.21,916.21,-,3.26,2.55,140.15,0
토마토소스스파게티,500,642.18,102.07,0,17.37,20.22,97.18,220.69,1404.81,1651.3,-,5.09,3.39,12.65,0
해물칼국수,900,621.2,124.21,0,4.01,24.87,150.05,332.51,2195.05,887.22,-,10.54,2.12,156.77,0
회냉면,550,638.9,131.9,22.73,8.78,20.22,122.05,306.79,1524.28,1374.15,-,6.09,3.14,92.9,0
떡국,800,714.99,144.03,0,5.39,21.86,222.52,362.35,2019.28,610.4,-,4.52,4.13,90.8,0
떡만둣국,700,625.35,113.96,0,9.4,22.72,150.65,289.74,1999.12,949.86,-,3.76,3.24,298.81,0
짜장라면,250,409.38,63.78,0,14.85,12.01,63.63,166,1276.38,490.25,-,1.63,0.84,1.5,0
고기만두,250,454.39,55.33,0,18.25,18.66,121.64,234.64,888.8,767.34,-,4.19,3.09,21,0
군만두,250,684.42,76.17,0,31.18,19.77,53.38,281.62,983.7,595.03,-,4.85,2.66,36,0
김치만두,250,424.64,60.79,0,13.1,18.43,91.73,271.18,961.97,1181.77,-,5.54,2.82,20.28,0
물만두,120,158.05,20.48,0,5.84,5.86,27.6,81.86,269.52,259.71,-,1.42,0.79,7.59,0
만둣국,700,432.62,53.28,0,14.92,19.24,163.29,300.75,2356.67,1202.84,-,5.03,2.14,94.22,0
게살죽,800,554.24,103.59,0,7.63,18.15,160,235.91,1533.96,857.06,-,7.49,3.3,40.87,0
깨죽,800,505.68,71.13,0,18.94,13.43,407.88,262.36,1212.27,186.59,-,6.32,5.07,0,0
닭죽,1000,1181.71,92.53,0,48.18,75.93,116.55,584.82,789.79,1290.97,-,9.84,5.55,271.44,0
소고기버섯죽,800,573.24,102.93,0,6.46,20.52,31.25,288.76,1263.62,504.51,-,2.2,4.33,29.32,0
어죽,800,559.27,90.47,0,6.08,15.53,368.79,369.06,1621.29,450.21,-,4.83,3.13,75.77,0
잣죽,700,872.61,153.79,0,20.29,15.79,15.33,196.78,850.63,296.54,-,4.23,4.52,0,0
전복죽,800,587.29,105.04,0,11.45,14.57,75.23,269.71,1423.93,405.9,-,2.32,2.53,45.15,0
참치죽,800,658.46,105.94,0,13.85,26.08,63.78,341.28,1264.15,851.65,-,4.98,2.54,40.76,0
