곡류 및 곡물,채소,과일,육류,어패류,유제품,조미료,견과류,스프류,기타
0,1,2,3,4,5,6,7,8,9
소시지전,3,,,,,,,,
연근땅콩조림,7,,,,,,,,
청양풍어묵볶음밥,0,,,,,,,,
새우볼꼬치,4,,,,,,,,
게살계란국,8,,,,,,,,
돈까스&일식돈까스소스,6,,,,,,,,
깐풍기,3,,,,,,,,
한식잡채,9,,,,,,,,
깐쇼새우,4,,,,,,,,
돈육마늘쫑볶음밥,0,,,,,,,,
감자채전,0,,,,,,,,
메추리알조림,3,,,,,,,,
데리야끼닭볶음,3,,,,,,,,
두부김치국,8,,,,,,,,
미니고기완자조림,3,,,,,,,,
오리주물럭,3,,,,,,,,
양송이크림스프,8,,,,,,,,
고추참치볶음,4,,,,,,,,
파채무침,1,,,,,,,,
브로콜리죽,8,,,,,,,,
강낭콩밥,0,,,,,,,,
감자조림,1,,,,,,,,
골드키위,2,,,,,,,,
사골무국,8,,,,,,,,
그린빈가마보꼬조림,4,,,,,,,,
치즈케익,0,,,,,,,,
뼈없는닭갈비,3,,,,,,,,
짜장면,0,,,,,,,,
곤드레밥&양념장,0,,,,,,,,
모듬피클,1,,,,,,,,
캐슈넛건새우볶음,4,,,,,,,,
잔치국수,0,,,,,,,,
샤오롱바오,3,,,,,,,,
양념장,6,,,,,,,,
순살햄전,3,,,,,,,,
부추순대찜,3,,,,,,,,
물만두국,8,,,,,,,,
초코첵스,0,,,,,,,,
미니우동,,,,,,,,,
참치마요김쌈,,,,,,,,,
불닭&라면사리,,,,,,,,,
고추튀김&김말이튀김,,,,,,,,,
볶음밥,,,,,,,,,
간짜장,,,,,,,,,
산채볶음밥,,,,,,,,,
볼어묵볶음,,,,,,,,,
베이컨볶음밥,,,,,,,,,
콩나물밥&양념장,,,,,,,,,
불닭볶음,,,,,,,,,
야채튀김,,,,,,,,,
고기속깻잎튀김,,,,,,,,,
너비아니구이,,,,,,,,,
망고,,,,,,,,,
매콤제육강정,,,,,,,,,
치킨또띠아말이,,,,,,,,,
불고기필라프,,,,,,,,,
새우나시고랭,,,,,,,,,
사골떡국,,,,,,,,,
왕만두국,,,,,,,,,
바싹불고기,,,,,,,,,
멸치고추장볶음,,,,,,,,,
계란조림,,,,,,,,,
소불고기,,,,,,,,,
허니치킨강정,,,,,,,,,
누룽지,,,,,,,,,
매콤순대야채볶음,,,,,,,,,
한입만두카츠,,,,,,,,,
스팸마요덮밥,,,,,,,,,
숯불오징어볶음,,,,,,,,,
베이컨파스타,,,,,,,,,
삼계탕,,,,,,,,,
오므라이스,,,,,,,,,
크림새우,,,,,,,,,
시금치국,,,,,,,,,
냉짬뽕,,,,,,,,,
피쉬앤칩스&타르타르소스,,,,,,,,,
야채라면,,,,,,,,,
로제함박스테이크,,,,,,,,,
모닝빵콩가루무침,,,,,,,,,
레몬크림새우,,,,,,,,,
김말이&고추튀김,,,,,,,,,
코울슬로,,,,,,,,,
건파래볶음,,,,,,,,,
오징어야채볶음,,,,,,,,,
미트볼폭찹,,,,,,,,,
떡미역국,,,,,,,,,
그래놀라카카오,,,,,,,,,
어묵볶음,,,,,,,,,
알감자조림,,,,,,,,,
보리비빔밥&계란후라이,,,,,,,,,
치킨너겟,,,,,,,,,
오이지무침,,,,,,,,,
제육야채볶음,,,,,,,,,
감자스프,,,,,,,,,
청양풍잡채,,,,,,,,,
로제스파게티,,,,,,,,,
머스크멜론,,,,,,,,,
아몬드크림새우,,,,,,,,,
어묵채볶음,,,,,,,,,
고기완자,,,,,,,,,
매콤소불고기,,,,,,,,,
매운돈사태떡찜,,,,,,,,,
근대된장국,,,,,,,,,
야채탕,,,,,,,,,
옥수수콘계란찜,,,,,,,,,
뚝배기닭볶음탕&우동사리,,,,,,,,,
들깨죽,,,,,,,,,
텐동,,,,,,,,,
미숫가루,,,,,,,,,
매운돼지국밥,,,,,,,,,
맥앤치즈볼,,,,,,,,,
쌀밥,,,,,,,,,
브로콜리된장무침,,,,,,,,,
타르소스,,,,,,,,,
아삭이고추무침,,,,,,,,,
굴소스해물볶음,,,,,,,,,
멸치숙주국수,,,,,,,,,
콩도넛츠,,,,,,,,,
도라지무침,,,,,,,,,
타코야끼,,,,,,,,,
